beer_number,beer_name,brewer,brewery_wikidata_id,abv,beer_style,vegan,gluten_free,description
1,Gravitas,Vale Brewery,Q98072911,4.8%,Premium Bitter,,,
2,Helios,Vale Brewery,Q98072911,4.2%,Bronze,,,
3,Jekyll & Hyde,Aylesbury Brewhouse Co.,Q97621074,5.2%,Bitter,,,
4,Renton & Overton Oatmeal Stout,Aylesbury Brewhouse Co.,Q97621074,4.9%,Stout,,,
5,Beechwood,The Chiltern Brewery,Q97661391,4.3%,Premium Bitter,,,
6,Chiltern Gold,The Chiltern Brewery,Q97661391,3.9%,Golden Ale,,,
7,London Porter,Mad Squirrel,Q98074829,5.0%,Porter,,,
8,Redwood American IPA,Mad Squirrel,Q98074829,5.4%,IPA,,,
9,8,XT Brewing Co.,Q39053843,4.5%,Dark,,,
10,13,XT Brewing Co.,Q39053843,4.5%,Red Ale,,,
11,IPA,Malt,,5.0%,IPA,,,
12,Dark Ale,Malt,,3.9%,Dark,,,
13,Classic English Ale,The 3 Brewers of St.Albans,Q97619412,4.1%,Copper Ale,,,
14,Summer Ale,The 3 Brewers of St.Albans,Q97619412,3.8%,Golden Ale,,,
15,Triple B,Oxfordshire Ales,,3.7%,Bitter,,,
16,Marshmellow,Oxfordshire Ales,,4.7%,Amber Ale,,,
17,Midsummer Ale,Concrete Cow,,3.8%,Golden Ale,,,
18,Old Bloomer,Concrete Cow,,4.7%,Best Bitter,,,
19,Ribtickler,Tring Brewery Co.,Q7842351,4.0%,Bitter,,,
20,Death or Glory,Tring Brewery Co.,Q7842351,7.2%,Ruby,,,
21,Moongazer,Tring Brewery Co.,Q7842351,4.2%,Amber/Ruby,,,
22,Patriot,Hopping Mad,,5.0%,IPA,,,
23,Brainstorm,Hopping Mad,,4.3%,Best Bitter,,,
24,Balmy Days,Hopping Mad,,3.9%,Bitter,,,
25,Great Grey Owl,Butcombe,,3.6%,American Pale,,,
26,Pendle Witches Brew,Moorhouse's,,5.1%,Golden Ale,,,
27,92 Squadron,Buntingford,,4.5%,Premium Bitter,,,
28,Black Hole Porter,Oakham,Q7073885,5.5%,Porter,,,
29,Bitter Californian,Bristol Beer Factory,Q107716330,4.8%,Pale Ale,,,
30,Diablo,Summer Wine Brewery,,6.0%,IPA,,,
