beer_number,beer_name,brewer,abv,beer_style,vegan,gluten_free,description
1,Angel Fish,Animal Brewing Co,4.6%,IPA,,,"Pilsner Malts from Germany, triple hopped with American varieties - giving an ale twist on a lager recipe. Crisp dry and refreshing."
2,Arapawa,Hornes Brewery,4.5%,Pale Ale,,y,A juicy pale ale hopped solely with New Zealand Rakau.
3,Ashford,Thornbridge,4.2%,Brown Ale,,,A New World Brown Ale but with the emphasis more on the complex nutty malt than the herbal hops.
4,Bat Oat of Hell,Weird Beard Brew Co.,4.0%,Pale Ale,y,,"Full on flavour and body. Pours a deep orange with slight haze, as you would expect from the oats and wheat. The aroma and flavour are citrus and tropical fruits."
5,Beechwood,The Chiltern Brewery,4.3%,Bitter,,,"Premium quality pale ale malt with an extra proportion of crystal malt, and increased hops, gives this beer its renowned nutty flavour and punch."
6,Best,Vale Brewery,3.7%,Bitter,,,"Light copper, all english hopped session ale."
7,Big Bang Theory,Nene Valley Brewery,5.3%,APA,,y,Wonderfully balanced pale ale with a huge hop aroma giving way to malty sweetness and a gentle bitter finish.
8,Big Sea,Mad Squirrel,5.5%,IPA,,,"West Coast IPA Style. Citrus, pine and big bitterness come in waves throughout this brew, courtesy of some BIG C Hops."
9,Black,The Chiltern Brewery,3.9%,Porter,,,A hint of sweetness and caramel. Challenger hops for bitterness & late hopped with Styrian Goldings.
10,Black Buzzard,Leighton Buzzard Brewing Co.,5.8%,Porter,,,"Dark, treacle tones, hints of roasted barley and beautifully now chocolate aroma. Flavoursome yet light on strength."
11,Black Friday,paradigm brewery,6.0%,Mild,,,"A crazy marriage of six different malts delivers a wonderful, complex, robust porter with hints of coffee and chocolate."
12,Blonde,Saltaire,4.0%,Blonde / Golden,,,A well balanced Pale ale combining soft malt flavours with subtle spice from Bohemian Saaz hops.
13,Blonde,The 3 Brewers of St.Albans,4.2%,Golden Ale,,,Golden in colour with a wonderful hoppy aroma and a refreshing smack of fruity citrusy flavours.
14,Blue Sky Thinking,paradigm brewery,4.0%,Summer Ale,,,"A light and fruity summer ale, refreshing on the palette."
15,15 Breakfast Stout,Kent Brewery,4.2%,Oatmeal Stout,,,A sweet smooth and malty stout.
16,Broken Dream,Siren Craft Brew,6.5%,Breakfast Stout,,,"Champion Beer of Britain 2018. Breakfast stout with a gentle touch of smoke, coffee and chocolate."
17,Brut N Free,Arbor,6.0%,Brut IPA,y,y,"Brut IPA brewed with Amarillo, Simcoe and Mosaic hops."
18,Chinook & Loral,Brew By Numbers / Hobsons Collab,4.5%,IPA,y,,"A hazy, fruity IPA with the gutsy flavours of Chinook and Loral hops in equal measure. A floral aroma, with notes of grapefruit and pine."
19,Citra & Rye,Wiper and True,4.8%,Amber Ale,y,,"A full-bodied and sweet Amber Ale finished with spicy, peppery rye malts. Citra hop, abundant in intense citrus and tropical flavours."
20,Classic,The 3 Brewers of St.Albans,4.0%,Best Bitter,,,"A light hoppy aromo, rich and rounded malty taste balanced by subtle hoppiness, to give a clean, smooth and refreshing ale."
21,COB,Hop Kettle,3.8%,Session Bitter,,,"A classic session bitter. Golden amber in colour, a perfect balance between malt and English hoppiness creates an easy-drinking sessionable bitter."
